title,source,published_at,url,description,score,label
An airline startup that hopes to fly Airbus A380s between New York and London is delaying its launch to 2025,Business Insider,2024-06-20,https://www.businessinsider.com/startup-global-airlines-delays-launch-of-transatlantic-airbus-a380-flights-2024-6,"Since its launch, Global has touted a luxurious interior for its A380, which is planned to have 471 seats in economy, business, and first class.",0.8758814334869385,positive
Elon Musk predicts universal basic income will take off once AI replaces workers. Read his 8 best quotes about UBI.,Business Insider,2024-06-22,https://www.businessinsider.com/elon-musk-universal-basic-income-ubi-ai-automation-unemployment-quotes-2024-6,"The Tesla and SpaceX chief predicts a ""universal high income"" as AI replaces workers, giving them more freedom in how they spend time and money.",0.6387123465538025,positive
I've been flying ultra-low-cost airlines for years and have never been charged extra — these are my 4 tips for avoiding fees,Business Insider,2024-06-21,https://www.businessinsider.com/spirit-frontier-fees-bags-seats-snacks-how-to-avoid-paying-2024-6,The a-la-carte business model used by carriers like Frontier and Spirit can cost travelers hundreds in unexpected fees if you don't know the rules.,0.2311277985572815,negative
"Wyoming, Delaware, and Montana are the most entrepreneurial states of 2024 so far. It might be due to business-friendly taxes.",Business Insider,2024-06-21,https://www.businessinsider.com/low-tax-states-new-business-startups-wyoming-delaware-montana-2024-6,"Wyoming, Delaware, and Montana lead the US in new business formations this year. Cheap costs and favorable taxes are driving the boom.",0.8925744891166687,positive
"I booked a weeklong trip to a mystery destination. I had a lot of fun, but I'd do a few things differently next time.",Business Insider,2024-06-20,https://www.businessinsider.com/booked-solo-trip-surprise-travel-agency-sort-of-worth-it-2024-6,"I booked a surprise trip to a mystery destination. The company planned everything for me, from flights and accommodations to tours and activities.",0.69610595703125,positive
10 High-Paying Gig Economy Jobs To Land In 2024,Forbes,2024-06-21,https://www.forbes.com/sites/jackkelly/2024/06/21/high-paying-gig-economy-jobs/,There is an increasing number of workers who are pursuing nontraditional employment through the gig economy. Here is a list of 10 high-paying gig jobs for 2024.,0.49698159098625183,positive
The Gig Economy Is Here To Stay—Here's How To Embrace It,Forbes,2024-06-20,https://www.forbes.com/sites/jackkelly/2024/06/20/gig-economy-success-tips/,"Discover practical strategies to thrive in the gig economy, where flexibility and innovation are key. Learn how to adapt and succeed in this evolving landscape.",0.7243314385414124,positive
Beyond Paradise: 6 Visionaries Shaping The Hawaii Filmmaking Scene,Forbes,2024-06-21,https://www.forbes.com/sites/meimeifox/2024/06/21/beyond-paradise-6-visionaries-shaping-the-hawaii-filmmaking-scene/,The Hawai’i film industry is intent upon growing into a leading force within the local economy and global media landscape. Six leaders share the challenges and triumphs.,0.8317570686340332,positive
Extending Trump’s Tax Cuts: Why Long-Term Investors Should Be Concerned,Forbes,2024-06-20,https://www.forbes.com/sites/iansimmons/2024/06/20/extending-trumps-tax-cuts-why-long-term-investors-should-be-concerned/,"Tax cuts for billionaires are a bad deal for the vast majority of investors. Extending the TCJA in full would cost more than $3.3 trillion through 2033, by one estimate.",0.19446957111358643,negative
Forbes Iconoclast Summit 2024: How The World’s Top Investors Are Viewing The Bull Market,Forbes,2024-06-20,https://www.forbes.com/sites/hanktucker/2024/06/20/forbes-iconoclast-summit-2024-how-the-worlds-top-investors-are-viewing-the-bull-market/,Dozens of top investors and an audience with $20 trillion in assets under management discussed where they're still seeing opportunities and how new technology like AI will influence markets.,0.6710442304611206,positive
‘Black Women Are A Good Investment’: Inside Goldman Sachs’ $10 Billion Economic Plan,Forbes,2024-06-20,https://www.forbes.com/sites/jabariyoung/2024/06/20/black-women-are-a-good-investment-inside-goldman-sachs-10-billion-plan/,The Wall Street giant says it sprinkled nearly $3 billion in capital to expand the Black business community.,0.5483919978141785,positive
"Why It’ll Likely Be Easier Getting Into College, Even The Ivy League, This Coming Admissions Cycle",Forbes,2024-06-20,https://www.forbes.com/sites/annaesakismith/2024/06/20/why-itll-likely-be-easier-getting-into-college-even-the-ivy-league-this-coming-admissions-cycle/,"A drop in births after the 2008 global recession means fewer high school graduates now. With less competition, will that make getting into university easier?",0.46051663160324097,negative
Joe Biden Gets the Breakthrough With Voters He Was Praying For,Newsweek,2024-06-20,https://www.newsweek.com/joe-biden-economy-immigration-poll-1915209,A Fox News poll shows that more voters are feeling positive about the economy than at any point during the Biden administration.,0.8209640979766846,positive
